attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
None,<p>A hotel performance view.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,hotel_average_lead_value_micros,hotel_eligible_impressions,hotel_price_difference_percentage,impressions,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_click_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,value_per_all_conversions,value_per_conversion","ad_network_type,click_type,date,day_of_week,device,geo_target_country,hotel_booking_window_days,hotel_center_id,hotel_check_in_date,hotel_check_in_day_of_week,hotel_city,hotel_class,hotel_country,hotel_date_selection_type,hotel_length_of_stay,hotel_price_bucket,hotel_rate_rule_id,hotel_rate_type,hotel_state,hour,month,partner_hotel_id,quarter,week,year",Hotel Performance View,"ad_group,campaign",1
customer,<p>A landing page view with metrics aggregated at the unexpanded final URL level.</p>,"resource_name,unexpanded_final_url","active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,mobile_friendly_clicks_percentage,speed_score,valid_accelerated_mobile_pages_clicks_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Landing Page View,"ad_group,campaign,expanded_landing_page_view",1
"ad_group,ad_group_criterion,campaign,customer",<p>A hotel group view.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,hotel_average_lead_value_micros,hotel_eligible_impressions,impressions,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_click_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,value_per_all_conversions,value_per_conversion","date,day_of_week,hour,month,quarter,week,year",Hotel Group View,None,1
"ad_group,campaign,customer",<p>A group placement view.</p>,"display_name,placement,placement_type,resource_name,target_url","active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Group Placement View,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>A gender view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Gender View,bidding_strategy,1
customer,<p>A feed placeholder view.</p>,"placeholder_type,resource_name","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Feed Placeholder View,"ad_group,ad_group_ad,campaign",1
"customer,feed",<p>A feed item.</p>,"attribute_values,end_date_time,feed,geo_targeting_restriction,id,policy_infos,resource_name,start_date_time,status,url_custom_parameters","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,interaction_on_this_extension,month,month_of_year,placeholder_type,quarter,slot,week,year",Feed Item,"ad_group,ad_group_ad,campaign",1
customer,<p>An extension feed item.</p>,"ad_schedules,affiliate_location_feed_item.address_line_1,affiliate_location_feed_item.address_line_2,affiliate_location_feed_item.business_name,affiliate_location_feed_item.chain_id,affiliate_location_feed_item.chain_name,affiliate_location_feed_item.city,affiliate_location_feed_item.country_code,affiliate_location_feed_item.phone_number,affiliate_location_feed_item.postal_code,affiliate_location_feed_item.province,app_feed_item.app_id,app_feed_item.app_store,app_feed_item.final_mobile_urls,app_feed_item.final_url_suffix,app_feed_item.final_urls,app_feed_item.link_text,app_feed_item.tracking_url_template,call_feed_item.call_conversion_action,call_feed_item.call_conversion_reporting_state,call_feed_item.call_conversion_tracking_disabled,call_feed_item.call_tracking_enabled,call_feed_item.country_code,call_feed_item.phone_number,callout_feed_item.callout_text,device,end_date_time,extension_type,hotel_callout_feed_item.language_code,hotel_callout_feed_item.text,id,image_feed_item.image_asset,location_feed_item.address_line_1,location_feed_item.address_line_2,location_feed_item.business_name,location_feed_item.city,location_feed_item.country_code,location_feed_item.phone_number,location_feed_item.postal_code,location_feed_item.province,price_feed_item.final_url_suffix,price_feed_item.language_code,price_feed_item.price_offerings,price_feed_item.price_qualifier,price_feed_item.tracking_url_template,price_feed_item.type,promotion_feed_item.discount_modifier,promotion_feed_item.final_mobile_urls,promotion_feed_item.final_url_suffix,promotion_feed_item.final_urls,promotion_feed_item.language_code,promotion_feed_item.money_amount_off.amount_micros,promotion_feed_item.money_amount_off.currency_code,promotion_feed_item.occasion,promotion_feed_item.orders_over_amount.amount_micros,promotion_feed_item.orders_over_amount.currency_code,promotion_feed_item.percent_off,promotion_feed_item.promotion_code,promotion_feed_item.promotion_end_date,promotion_feed_item.promotion_start_date,promotion_feed_item.promotion_target,promotion_feed_item.tracking_url_template,resource_name,sitelink_feed_item.final_mobile_urls,sitelink_feed_item.final_url_suffix,sitelink_feed_item.final_urls,sitelink_feed_item.line1,sitelink_feed_item.line2,sitelink_feed_item.link_text,sitelink_feed_item.tracking_url_template,start_date_time,status,structured_snippet_feed_item.header,structured_snippet_feed_item.values,targeted_ad_group,targeted_campaign,targeted_geo_target_constant,targeted_keyword.match_type,targeted_keyword.text,text_message_feed_item.business_name,text_message_feed_item.country_code,text_message_feed_item.extension_text,text_message_feed_item.phone_number,text_message_feed_item.text","absolute_top_impression_percentage,all_conversions,all_conversions_from_click_to_call,all_conversions_from_directions,all_conversions_from_interactions_rate,all_conversions_from_menu,all_conversions_from_order,all_conversions_from_other_engagement,all_conversions_from_store_visit,all_conversions_from_store_website,all_conversions_value,average_cpc,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,message_chat_rate,message_chats,message_impressions,phone_calls,phone_impressions,phone_through_rate,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,interaction_on_this_extension,month,month_of_year,quarter,slot,week,year",Extension Feed Item,"ad_group,campaign",1
"ad_group,campaign,customer",<p>A search term view with metrics aggregated by search term at the ad group level.</p>,"ad_group,resource_name,search_term,status","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,keyword.ad_group_criterion,keyword.info.match_type,keyword.info.text,month,month_of_year,quarter,search_term_match_type,week,year",Search Term View,ad_group_ad,1
customer,"<p>A geographic view. Geographic View includes all metrics aggregated at the country level, one row per country. It reports metrics at either actual physical location of the user or an area of interest. If other segment fields are used, you may get more than one row per country.</p>","country_criterion_id,location_type,resource_name","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,geo_target_airport,geo_target_canton,geo_target_city,geo_target_county,geo_target_district,geo_target_metro,geo_target_most_specific_location,geo_target_postal_code,geo_target_province,geo_target_region,geo_target_state,month,month_of_year,quarter,week,year",Geographic View,"ad_group,campaign",1
customer,<p>A landing page view with metrics aggregated at the expanded final URL level.</p>,"expanded_final_url,resource_name","active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,mobile_friendly_clicks_percentage,speed_score,valid_accelerated_mobile_pages_clicks_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Expanded Landing Page View,"ad_group,campaign,landing_page_view",1
"asset,customer",<p>A link between a customer and an asset.</p>,"asset,field_type,primary_status,primary_status_details,primary_status_reasons,resource_name,source,status","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,asset_interaction_target.asset,asset_interaction_target.interaction_on_this_asset,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Customer Asset,"ad_group,campaign",1
"ad_group,campaign,customer",<p>A dynamic search ads search term view.</p>,"has_matching_keyword,has_negative_keyword,has_negative_url,headline,landing_page,page_url,resource_name,search_term","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,value_per_all_conversions,value_per_conversion","conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,external_conversion_source,month,month_of_year,quarter,webpage,week,year",Dynamic Search Ads Search Term View,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>A display keyword view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Display Keyword View,bidding_strategy,1
None,<p>A customer.</p>,"auto_tagging_enabled,call_reporting_setting.call_conversion_action,call_reporting_setting.call_conversion_reporting_enabled,call_reporting_setting.call_reporting_enabled,conversion_tracking_setting.accepted_customer_data_terms,conversion_tracking_setting.conversion_tracking_id,conversion_tracking_setting.conversion_tracking_status,conversion_tracking_setting.cross_account_conversion_tracking_id,conversion_tracking_setting.enhanced_conversions_for_leads_enabled,conversion_tracking_setting.google_ads_conversion_customer,currency_code,customer_agreement_setting.accepted_lead_form_terms,descriptive_name,final_url_suffix,has_partners_badge,id,image_asset_auto_migration_done,image_asset_auto_migration_done_date_time,local_services_settings.granular_insurance_statuses,local_services_settings.granular_license_statuses,location_asset_auto_migration_done,location_asset_auto_migration_done_date_time,manager,optimization_score,optimization_score_weight,pay_per_conversion_eligibility_failure_reasons,remarketing_setting.google_global_site_tag,resource_name,status,test_account,time_zone,tracking_url_template","absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_click_to_call,all_conversions_from_directions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_from_location_asset_click_to_call,all_conversions_from_location_asset_directions,all_conversions_from_location_asset_menu,all_conversions_from_location_asset_order,all_conversions_from_location_asset_other_engagement,all_conversions_from_location_asset_store_visits,all_conversions_from_location_asset_website,all_conversions_from_menu,all_conversions_from_order,all_conversions_from_other_engagement,all_conversions_from_store_visit,all_conversions_from_store_website,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,all_new_customer_lifetime_value,auction_insight_search_absolute_top_impression_percentage,auction_insight_search_impression_share,auction_insight_search_outranking_share,auction_insight_search_overlap_rate,auction_insight_search_position_above_rate,auction_insight_search_top_impression_percentage,average_cart_size,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,average_order_value_micros,average_page_views,average_time_on_site,benchmark_average_max_cpc,biddable_app_install_conversions,biddable_app_post_install_conversions,bounce_rate,clicks,content_budget_lost_impression_share,content_impression_share,content_rank_lost_impression_share,conversion_last_conversion_date,conversion_last_received_request_date_time,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_by_conversion_date,conversions_value_per_cost,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cost_per_current_model_attributed_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,current_model_attributed_conversions,current_model_attributed_conversions_from_interactions_rate,current_model_attributed_conversions_from_interactions_value_per_interaction,current_model_attributed_conversions_value,current_model_attributed_conversions_value_per_cost,eligible_impressions_from_location_asset_store_reach,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,gross_profit_margin,gross_profit_micros,historical_creative_quality_score,historical_landing_page_quality_score,historical_quality_score,historical_search_predicted_ctr,impressions,interaction_event_types,interaction_rate,interactions,invalid_click_rate,invalid_clicks,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,new_customer_lifetime_value,optimization_score_uplift,optimization_score_url,orders,percent_new_visitors,phone_calls,phone_impressions,phone_through_rate,relative_ctr,revenue_micros,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_click_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,sk_ad_network_installs,sk_ad_network_total_conversions,top_impression_percentage,units_sold,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,value_per_current_model_attributed_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions,view_through_conversions_from_location_asset_click_to_call,view_through_conversions_from_location_asset_directions,view_through_conversions_from_location_asset_menu,view_through_conversions_from_location_asset_order,view_through_conversions_from_location_asset_other_engagement,view_through_conversions_from_location_asset_store_visits,view_through_conversions_from_location_asset_website","ad_network_type,auction_insight_domain,click_type,conversion_action,conversion_action_category,conversion_action_name,conversion_adjustment,conversion_attribution_event_type,conversion_lag_bucket,conversion_or_adjustment_lag_bucket,conversion_value_rule_primary_dimension,date,day_of_week,device,external_conversion_source,geo_target_airport,geo_target_city,geo_target_metro,geo_target_region,hour,month,month_of_year,new_versus_returning_customers,product_aggregator_id,product_brand,product_category_level1,product_category_level2,product_category_level3,product_category_level4,product_category_level5,product_channel,product_channel_exclusivity,product_condition,product_country,product_custom_attribute0,product_custom_attribute1,product_custom_attribute2,product_custom_attribute3,product_custom_attribute4,product_item_id,product_language,product_merchant_id,product_store_id,product_title,product_type_l1,product_type_l2,product_type_l3,product_type_l4,product_type_l5,quarter,recommendation_type,search_engine_results_page_type,sk_ad_network_ad_event_type,sk_ad_network_attribution_credit,sk_ad_network_coarse_conversion_value,sk_ad_network_conversion_value,sk_ad_network_postback_sequence_index,sk_ad_network_source_app.sk_ad_network_source_app_id,sk_ad_network_source_domain,sk_ad_network_source_type,sk_ad_network_user_type,slot,week,year",Customer,None,1
"campaign,customer",<p>A Campaign search term view. Historical data is available starting March 2023.</p>,"campaign_id,category_label,id,resource_name","clicks,conversions,conversions_from_interactions_rate,conversions_value,ctr,impressions,search_volume","ad_group,asset_group,date,search_subcategory,search_term",Campaign Search Term Insight,None,1
customer,"<p>A click view with metrics aggregated at each click level, including both valid and invalid clicks. For non-Search campaigns, metrics.clicks represents the number of valid and invalid interactions. Queries including ClickView must have a filter limiting the results to one day and can be requested for dates back to 90 days before the time of the request.</p>","ad_group_ad,area_of_interest.city,area_of_interest.country,area_of_interest.metro,area_of_interest.most_specific,area_of_interest.region,campaign_location_target,gclid,keyword,keyword_info.match_type,keyword_info.text,location_of_presence.city,location_of_presence.country,location_of_presence.metro,location_of_presence.most_specific,location_of_presence.region,page_number,resource_name,user_list",clicks,"ad_network_type,click_type,date,device,month_of_year,slot",Click View,"ad_group,campaign",1
customer,<p>A distance view with metrics aggregated by the user's distance from an advertiser's location extensions. Each DistanceBucket includes all impressions that fall within its distance and a single impression will contribute to the metrics for all DistanceBuckets that include the user's distance.</p>,"distance_bucket,metric_system,resource_name","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,value_per_all_conversions,value_per_conversion,view_through_conversions","ad_network_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Distance View,campaign,1
"campaign,customer",<p>Represents a bid-modifiable only criterion at the campaign level.</p>,"bid_modifier,campaign,criterion_id,interaction_type.type,resource_name",interaction_event_types,,Campaign Bid Modifier,None,1
customer,<p>A conversion action.</p>,"app_id,attribution_model_settings.attribution_model,attribution_model_settings.data_driven_model_status,category,click_through_lookback_window_days,counting_type,firebase_settings.event_name,firebase_settings.project_id,firebase_settings.property_id,firebase_settings.property_name,google_analytics_4_settings.event_name,google_analytics_4_settings.property_id,google_analytics_4_settings.property_name,id,include_in_conversions_metric,mobile_app_vendor,name,origin,owner_customer,phone_call_duration_seconds,primary_for_goal,resource_name,status,tag_snippets,third_party_app_analytics_settings.event_name,third_party_app_analytics_settings.provider_name,type,value_settings.always_use_default_value,value_settings.default_currency_code,value_settings.default_value,view_through_lookback_window_days","all_conversions,all_conversions_value,conversion_last_conversion_date,conversion_last_received_request_date_time","date,month,quarter,week",Conversion Action,None,1
customer,<p>A campaign group.</p>,"id,name,resource_name,status","average_cost,average_cpv,conversions,cost_per_conversion,interaction_rate,interactions","ad_destination_type,date,device,hour,month,quarter,week,year",Campaign Group,None,1
"asset,customer",<p>A link between a Campaign and an Asset.</p>,"asset,campaign,field_type,primary_status,primary_status_details,primary_status_reasons,resource_name,source,status","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,asset_interaction_target.asset,asset_interaction_target.interaction_on_this_asset,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Campaign Asset,"ad_group,campaign",1
"campaign,campaign_criterion,customer","<p>A campaign audience view. Includes performance data from interests and remarketing lists for Display Network and YouTube Network ads, and remarketing lists for search ads (RLSA), aggregated by campaign and audience criterion. This view only includes audiences attached at the campaign level.</p>",resource_name,"absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_value,conversions_value_by_conversion_date,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,hotel_date_selection_type,month,month_of_year,quarter,slot,week,year",Campaign Audience View,"bidding_strategy,user_list",1
customer,<p>A campaign budget shared amongst various budget recommendation types.</p>,"aligned_bidding_strategy_id,amount_micros,delivery_method,explicitly_shared,has_recommended_budget,id,name,period,recommended_budget_amount_micros,recommended_budget_estimated_change_weekly_clicks,recommended_budget_estimated_change_weekly_cost_micros,recommended_budget_estimated_change_weekly_interactions,recommended_budget_estimated_change_weekly_views,reference_count,resource_name,status,total_amount_micros,type","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","budget_campaign_association_status.campaign,budget_campaign_association_status.status,conversion_action,conversion_action_category,conversion_action_name,date,external_conversion_source",Campaign Budget,campaign,1
